"Stock","Client Name","Client Category","Action*","Reported To/By Exchange","Quantity","Post Transaction Holding","Traded %","Avg. Price","Value","Period","Regulation (Insider/SAST)","Security Type","Mode"
"Liberty Shoes","Anupam Bansal","Promoter","Acquisition","2026-08-20","4548","665605","0.03","244","1,109,712","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Titagarh Rail Systems","Jayesh Arya","Immediate Relative","Acquisition","2026-08-20","20000","20028","0.01","821.0","16,419,000","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Gift"
"Disha Resources","Maya Texturisers Pvt. Ltd.","Promoter Group","Disposal","2026-08-20","100000","200000","1.37","32.3","3,227,000","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Shuvamay Chowdhury","Designated Person","Disposal","2026-08-20","25000","0
                
                
                    (0%)","0.01","122.4","3,060,381","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Snehil Modani","Designated Person","Disposal","2026-08-20","7100","83613","0.00","143.1","1,016,267","19 Aug 2026  20 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Snehil Modani","Designated Person","Disposal","2026-08-20","10012","90713","0.00","138.4","1,385,844","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Rahul Brahmne","Designated Person","Disposal","2026-08-20","14128","50000","0.00","151.1","2,135,447","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Astral","Mr. Sujal Shroff","Immediate Relative","Disposal","2026-08-20","11500","157150","0.00","1540.0","17,710,288","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Gravita","Gravita Employee Welfare Trust","Trust","Disposal","2026-08-20","2215","969637","0.00","1824.2","4,040,635","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Chetan Arjun Ranpise","Designated Person","Disposal","2026-08-20","50000","62625","0.02","131.5","6,574,283","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Ankita Sejpal","Designated Person","Disposal","2026-08-20","20000","0
                
                
                    (0%)","0.01","135.7","2,714,988","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Sunny Bhatia","Designated Person","Disposal","2026-08-20","80000","64789","0.03","125.4","10,033,777","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Anjani Kumar","Designated Person","Disposal","2026-08-20","35000","59689","0.01","128.8","4,508,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Liberty Shoes","Anupam Bansal","Promoter","Acquisition","2026-08-20","50100","645705","0.29","244.1","12,230,412","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"T T","T. T. BRANDS LIMITED","Promoter Group","Acquisition","2026-08-20","67775","89233682","0.03","6.5","437,467","19 Aug 2026  20 Aug 2026","Insider Trading","Equity","Market Purchase"
"Indostar Capital","Nagarajan","Designated Person","Disposal","2026-08-20","2960","1655","0.00","249.8","739,516","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
