Symbol,ISIN,Company Name,Board,Delisted Date,Type of Delisting
CABOTINDIA,INE144B01016,Cabot India Ltd,Main Board,15-Apr-02,Voluntary Delisting 
TOLANIBULK,INE051C01011,Tolani Bulk Carriers Ltd,Main Board,15-Apr-02,Voluntary Delisting 
HOGANAS,INE132A01013,Hoganas India Ltd,Main Board,07-Aug-02,Voluntary Delisting 
INFARINDIA,INE568A01018,Infar (India) Ltd.,Main Board,11-Oct-02,Voluntary Delisting 
CADBURY,INE184A01014,Cadbury India Limited,Main Board,07-Feb-03,Voluntary Delisting 
SRIVISHCEM,INE286B01015,Sri Vishnu Cement Ltd,Main Board,10-Mar-03,Voluntary Delisting 
MADURACOAT,INE122A01014,Madura Coats Limited,Main Board,25-Apr-03,Voluntary Delisting 
RECKCOLMAN,INE274A01013,Reckitt Benckiser (India) Ltd,Main Board,12-May-03,Voluntary Delisting 
BHARATHOT,INE466A01015,Bharat Hotels Limited,Main Board,17-Jun-03,Voluntary Delisting 
OTIS,INE099A01014,OTIS Elevator Company Ltd,Main Board,17-Jun-03,Voluntary Delisting 
INVELTRANS,INE527A01014,GKN Driveshafts (India) Limited,Main Board,29-Jul-03,Voluntary Delisting 
INDAL,INE249A01015,Indian Aluminium Co. Ltd.,Main Board,08-Apr-04,Voluntary Delisting 
DIGITALEQP,INE124A01010,Digital GlobalSoft Ltd.,Main Board,15-Apr-04,Voluntary Delisting 
ANIKSHIP,INE445701019,Anik Ship Breaking Industries Ltd.,Main Board,26-Jul-04,Compulsory Delisting 
BHARATPIPE,INE028301013,Bharat Pipes and Fittings Ltd,Main Board,26-Jul-04,Compulsory Delisting 
CRBCAPS,INE056701019,CRB Capital Markets Ltd,Main Board,26-Jul-04,Compulsory Delisting 
CRBCORP,INE056901015,CRB Corporation Ltd,Main Board,26-Jul-04,Compulsory Delisting 
GRMAGNET,INE523A01013,GR Magnets Ltd.,Main Board,26-Jul-04,Compulsory Delisting 
KAMALOVER,Not Available,Kamal Overseas Ltd.,Main Board,26-Jul-04,Compulsory Delisting 
KEDIADIST,INE129401019,Kedia Distilleries Ltd.,Main Board,26-Jul-04,Compulsory Delisting 
MARUTIORGN,INE188101013,Maruti Organics Limited,Main Board,26-Jul-04,Compulsory Delisting 
MRINALDYE,INE203201012,Mrinal Dyeing & Manufacturing Co. Ltd,Main Board,26-Jul-04,Compulsory Delisting 
PANASIAIND,INE230801016,Pan Asia Industries Ltd,Main Board,26-Jul-04,Compulsory Delisting 
REALVALAPL,INE980C01011,Real Value Appliance Ltd.,Main Board,26-Jul-04,Compulsory Delisting 
SHIVLOHMIL,INE294201012,Shivalik Loha Mills Ltd.,Main Board,26-Jul-04,Compulsory Delisting 
WESTINDIA,INE304901015,Western India Industries Ltd,Main Board,26-Jul-04,Compulsory Delisting 
WESTNPAQUE,INE305101011,Western Paques (India) Ltd,Main Board,26-Jul-04,Compulsory Delisting 
E-SERVEINT,INE784A01011,e-Serve International Limited,Main Board,22-Dec-04,Voluntary Delisting 
INDGYPSUM,INE561A01013,India Gypsum Ltd,Main Board,12-Jan-05,Voluntary Delisting 
HINDSPG,INE066D01017,Hindoostan Spinning and Weaving Mills Ltd,Main Board,05-Apr-05,Voluntary Delisting 
GFL,INE868A01020,Godrej Foods Limited,Main Board,19-Apr-05,Voluntary Delisting 
ABGHEAVY,INE580C01019,ABG Heavy Industries Ltd,Main Board,21-Jul-05,Voluntary Delisting 
WIMCOLTD,INE333A01025,Wimco Limited,Main Board,14-Dec-05,Voluntary Delisting 
POLYCHEM,INE752B01016,Polychem Ltd,Main Board,27-Dec-05,Voluntary Delisting 
DATTMEDI,INE480E01018,Datt Mediproducts Limited,Main Board,23-Jan-06,Voluntary Delisting 
FSS,INE801A01021,Flextronics Software Systems Limited,Main Board,10-Feb-06,Voluntary Delisting 
INTEGENT,INE227A01011,Integrated Enterprises (India) Limited,Main Board,29-May-06,Voluntary Delisting 
ADITYAINTL,INE908B01014,Aditya International Ltd.,Main Board,12-Feb-07,Voluntary Delisting 
EICHER,INE065A01023,Eicher Limited,Main Board,13-Mar-07,Voluntary Delisting 
YOKOGAWA,INE718A01019,Yokogawa India Limited,Main Board,10-May-07,Voluntary Delisting 
WARTSILA,INE057A01012,Wartsila India Ltd,Main Board,19-Jun-07,Voluntary Delisting 
OENCONNECT,INE669B01012,FCI OEN Connectors Limited,Main Board,17-Sep-07,Voluntary Delisting 
PAVCI,INE071B01011,Panasonic AVC Networks India Co. Limited.,Main Board,14-Dec-07,Voluntary Delisting 
ESTL,INE127A01021,Essar Steel Limited,Main Board,24-Dec-07,Voluntary Delisting 
IGS,INE177B01016,iGate Global Solutions Limited,Main Board,04-Feb-08,Voluntary Delisting 
BOSCHCHASY,INE053B01019,Bosch Chassis Systems India Ltd.,Main Board,07-Nov-08,Voluntary Delisting 
PENTACOMMU,INE408A01017,Pentasoft Technologies Limited,Main Board,09-Jan-09,Voluntary Delisting 
PENTSFWARE,INE202A01014,Pentamedia Graphics Limited,Main Board,09-Jan-09,Voluntary Delisting 
MALCO,INE223B01026,The Madras Aluminium Co Ltd,Main Board,19-Jun-09,Voluntary Delisting 
LOTTEINDIA,INE185A01011,Lotte India Corporation Limited,Main Board,31-Jul-09,Voluntary Delisting 
MATRIXLABS,INE604D01023,Matrix Laboratories Limited,Main Board,21-Aug-09,Voluntary Delisting 
PEARLGLOBL,INE787B01012,Pearl Global Ltd,Main Board,21-Aug-09,Voluntary Delisting 
SIGROUPIND,INE547A01012,SI Group - India Limited,Main Board,23-Sep-09,Voluntary Delisting 
PHILCORP,INE601A01017,PHIL Corporation Limited,Main Board,09-Feb-10,Voluntary Delisting 
MICRO,INE056A01014,Micro Inks Limited,Main Board,13-Apr-10,Voluntary Delisting 
HINVDIR,INE800B01013,HSBC InvestDirect (India) Limited,Main Board,15-Jul-10,Voluntary Delisting 
BINANICEM,INE042H01019,Binani Cement Limited,Main Board,30-May-11,Voluntary Delisting 
UTVSOF,INE507B01022,UTV Software Communications Limited,Main Board,16-Mar-12,Voluntary Delisting 
CAROLINFO,INE198A01014,Carol Info Services Limited,Main Board,19-Mar-12,Voluntary Delisting 
NIRMA,INE091A01029,Nirma Limited,Main Board,28-Mar-12,Voluntary Delisting 
ALFALAVAL,INE427A01017,Alfa Laval (India) Limited,Main Board,19-Apr-12,Voluntary Delisting 
SHPRE,INE318K01017,Shree Precoated Steels Limited,Main Board,10-May-12,Voluntary Delisting 
PATNI,INE660F01012,Patni Computer Systems Limited,Main Board,28-May-12,Voluntary Delisting 
CHEMPLAST,INE488A01027,Chemplast Sanmar Limited,Main Board,25-Jun-12,Voluntary Delisting 
BATLIBOI,INE177C01022,Batliboi Limited,Main Board,28-Jun-12,Voluntary Delisting 
CHETTINAD,INE132B01011,Chettinad Cement Corporation Limited,Main Board,07-Jun-13,Voluntary Delisting 
FKONCO,INE575G01010,Fresenius Kabi Oncology Limited,Main Board,10-Jan-14,Voluntary Delisting 
RBN,INE445K01018,Reliance Broadcast Network Limited,Main Board,28-Mar-14,Voluntary Delisting 
RELMEDIA,INE540B01015,Reliance MediaWorks Limited,Main Board,06-May-14,Voluntary Delisting 
JDORGOCHEM,INE263B01022,JD Orgochem Limited,Main Board,18-Jul-14,Voluntary Delisting 
PIRGLASS,INE748E01018,Piramal Glass Limited,Main Board,28-Jul-14,Voluntary Delisting 
NOVOPANIND,INE460B01016,Novopan Industries Limited,Main Board,10-Nov-14,Voluntary Delisting 
MANJUSHREE,INE435H01015,Manjushree Technopack Limited,Main Board,24-Mar-15,Voluntary Delisting 
WINSOMEDJ,INE664A01015,Winsome Diamonds and Jewellery Limited,Main Board,31-Mar-15,Voluntary Delisting 
GSLNOVA,INE787A01022,GSL Nova Petrochemicals Limited,Main Board,22-Apr-15,Voluntary Delisting 
ESSARPORTS,INE282A01024,Essar Ports Limited,Main Board,31-Dec-15,Voluntary Delisting 
ESSAROIL,INE011A01019,Essar Oil Limited,Main Board,17-Feb-16,Voluntary Delisting 
HECINFRA,Not Available,HEC Infra Projects Limited,ITP,18-Feb-16,Exit from ITP platform
BIRLACOT,INE655I01024,Birla Cotsyn (India) Limited,Main Board,16-Mar-16,Voluntary Delisting 
ZENITHCOMP,INE598B01013,Zenith Computers Limited,Main Board,18-Mar-16,Voluntary Delisting 
GUJSTATFIN,INE944A01011,Gujarat State Financial Corporation,Main Board,18-Mar-16,Voluntary Delisting 
HUSYS,INE336T01010,Husys Consulting Limited,ITP,09-Jun-16,Exit from ITP platform
NOVAIRNSTL,INE220001015,Nova Iron & Steel Ltd,Main Board,04-Jul-16,Voluntary Delisting 
