Market,Investor,Rows available,Source period,Coverage,Source
IN,Ajay Upadhyaya,26,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53739/latest/ajay-upadhyaya/
IN,Akash Bhanshali,22,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53740/latest/akash-bhanshali/
IN,Amal Parikh,7,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584331/latest/amal-parikh/
IN,Amit Gupta,13,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53741/latest/amit-gupta/
IN,Anil Kumar Goel and Associates,39,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53743/latest/anil-kumar-goel-and-associates/
IN,Anuj Anantrai Sheth and Associates,7,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53744/latest/anuj-anantrai-sheth-and-associates/
IN,Ashish Chugh,28,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/3658383/latest/ashish-chugh/
IN,Ashish Dhawan,16,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53745/latest/ashish-dhawan/
IN,Ashish Kacholia,71,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53746/latest/ashish-kacholia/
IN,Ashok Kumar Jain,50,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53748/latest/ashok-kumar-jain/
IN,Atim Kabra,3,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53749/latest/atim-kabra/
IN,Bharat Jayantilal Patel and Associates,15,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53751/latest/bharat-jayantilal-patel-and-associates/
IN,Bhavook Tripathi,0,,Detailed source unavailable,https://trendlyne.com/portfolio/superstar-shareholders/584330/latest/bhavook-tripathi/
IN,Dheeraj Kumar Lohia and Associates,72,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53754/latest/dheeraj-kumar-lohia-and-associates/
IN,Dilipkumar Lakhi,11,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53755/latest/dilipkumar-lakhi-portfolio/
IN,Dipak Kanayalal Shah,66,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53756/latest/dipak-kanayalal-shah/
IN,Dolly Khanna,34,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53757/latest/dolly-khanna/
IN,Girish Gulati,16,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584324/latest/girish-gulati/
IN,Govindlal M Parikh,9,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/3130116/latest/govindlal-m-parikh/
IN,Harsha Hitesh Javeri,34,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53759/latest/harsha-hitesh-javeri/
IN,Hiten Anantrai Sheth,3,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53761/latest/hiten-anantrai-sheth/
IN,Hitesh Ramji Javeri and Associates,56,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53762/latest/hitesh-ramji-javeri-and-associates/
IN,Hitesh Satishchandra Doshi,12,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53763/latest/hitesh-satishchandra-doshi-portfolio/
IN,Jayesh Patel,5,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584332/latest/jayesh-patel/
IN,Keswani Haresh,6,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53765/latest/keswani-haresh/
IN,Lata Bhanshali,3,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53767/latest/lata-bhanshali-portfolio/
IN,Lincoln P Coelho,18,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53768/latest/lincoln-p-coelho/
IN,Madhukar Sheth,8,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53770/latest/madhukar-sheth/
IN,Madhusudan Kela,23,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584325/latest/madhusudan-kela/
IN,Mahendra Girdharilal,191,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53771/latest/mahendra-girdharilal/
IN,Minal Bharat Patel,14,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53772/latest/minal-bharat-patel/
IN,Mohnish Pabrai,1,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/69664/latest/mohnish-pabrai/
IN,Mukesh Ambani and Family,2,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/2214734/latest/mukesh-ambani-and-family/
IN,Mukul Agrawal,93,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53774/latest/mukul-agrawal/
IN,Nemish S Shah,7,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53776/latest/nemish-s-shah/
IN,Nikhil Vora,9,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584329/latest/nikhil-vora/
IN,Porinju V Veliyath,23,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53777/latest/porinju-v-veliyath/
IN,Premji and Associates,1,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584333/latest/premji-and-associates/
IN,Radhakishan Damani,13,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/178317/latest/radhakishan-damani/
IN,Raj Kumar Lohia,72,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53779/latest/raj-kumar-lohia/
IN,Rakesh Jhunjhunwala and Associates,30,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53781/latest/rakesh-jhunjhunwala-and-associates/
IN,Ramesh Damani,6,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/62728/latest/ramesh-damani/
IN,Rekha Jhunjhunwala,29,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53782/latest/rekha-jhunjhunwala/
IN,Ricky Ishwardas Kirpalani,4,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53783/latest/ricky-ishwardas-kirpalani/
IN,Sangeetha S,116,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53786/latest/sangeetha-s/
IN,Sanjay Gupta,17,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53787/latest/sanjay-gupta/
IN,Sanjay Kumar Agarwal,10,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53788/latest/sanjay-kumar-agarwal/
IN,Sanjeev Vinodchandra Parekh,5,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53790/latest/sanjeev-vinodchandra-parekh/
IN,Sanjiv Dhireshbhai Shah,18,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53791/latest/sanjiv-dhireshbhai-shah-portfolio/
IN,Satpal Khattar,7,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53793/latest/satpal-khattar/
IN,Seetha Kumari,11,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53795/latest/seetha-kumari/
IN,Shankar Sharma,7,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584326/latest/shankar-sharma/
IN,Sharad Kanayalal Shah and Associates,96,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53796/latest/sharad-kanayalal-shah-and-associates/
IN,Shaunak Jagdish Shah,9,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53797/latest/shaunak-jagdish-shah/
IN,Shivani Tejas Trivedi,17,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53798/latest/shivani-tejas-trivedi/
IN,Sunil Kumar,8,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53800/latest/sunil-kumar/
IN,Sunil Singhania,40,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/182955/latest/sunil-singhania/
IN,Suresh Kumar Agarwal,27,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53802/latest/suresh-kumar-agarwal/
IN,Urjita Master,3,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/584327/latest/urjita-master/
IN,Vallabh Roopchand Bhanshali,8,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53803/latest/vallabh-roopchand-bhanshali/
IN,Vanaja Sundar Iyer,25,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53804/latest/vanaja-sundar-iyer/
IN,Vijay Kishanlal Kedia,24,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53805/latest/vijay-kishanlal-kedia/
IN,Vinodchandra Mansukhlal Parekh and Associates,14,Jun 2026,Retrieved disclosure snapshot,https://trendlyne.com/portfolio/superstar-shareholders/53807/latest/vinodchandra-mansukhlal-parekh-and-associates/
US,Alan Fournier,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158692/latest/alan-fournier-portfolio/
US,"Albert A. Gore, Jr",29,Apr 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158594/latest/albert-a-gore-jr-portfolio/
US,Baillie Gifford,275,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1088875/000108887526000057/xslForm13F_X02/primary_doc.xml
US,"Barrow, Hanley, Mewhinney & Strauss",200,Jan 2026,Partial disclosed portfolio,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158586/latest/barrow-hanley-mewhinney-strauss-portfolio/
US,Bill Ackman,11,2026-03-31,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1336528/000117266126002336/xslForm13F_X02/primary_doc.xml
US,Bill Gates,24,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1166559/000110465926097175/xslForm13F_X02/primary_doc.xml
US,Bruce Berkowitz,13,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=fairx
US,Catherine Wood,178,Apr 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158600/latest/catherine-wood-portfolio/
US,Caxton Associates,200,Dec 2025,Partial disclosed portfolio,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158673/latest/caxton-associates-portfolio/
US,Charles Brandes,173,Dec 2025,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158625/latest/charles-brandes-portfolio/
US,Charles T. Akre,20,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1112520/000111252026000014/xslForm13F_X02/primary_doc.xml
US,Christopher Davis,112,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=DAV
US,Daniel Loeb,43,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1040273/000104027326000003/xslForm13F_X02/primary_doc.xml
US,David Einhorn,46,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=GLRE
US,David Rolfe,18,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=WP
US,David Tepper,27,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1656456/000165645626000003/xslForm13F_X02/primary_doc.xml
US,Diamond Hill Capital,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158590/latest/diamond-hill-capital-portfolio/
US,First Pacific Advisors,72,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=FPA
US,Francis Chou,29,Jul 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158701/latest/francis-chou-portfolio/
